Position,Vin,Ifbk,Speed,DBG_0,DBG_1,DBG_2,DBG_3,DBG_4,DBG_5
381879,10047,23,90,0.5,10,0,0,0,0
382410,10047,12,90,0.5,10,0,0,0,0
382941,10047,11,91,0.5,10,0,0,0,0
383472,10047,11,92,0.5,10,0,0,0,0
384003,10047,10,94,0.5,10,0,0,0,0
384534,10047,11,92,0.5,10,0,0,0,0
385065,10047,15,93,0.5,10,0,0,0,0
385596,10047,16,91,0.5,10,0,0,0,0
386127,10047,9,93,0.5,10,0,0,0,0
386658,10047,14,93,0.5,10,0,0,0,0
387189,10047,14,93,0.5,10,0,0,0,0
387720,10047,11,94,0.5,10,0,0,0,0
388251,10047,12,94,0.5,10,0,0,0,0
388782,10047,15,92,0.5,10,0,0,0,0
389313,10047,11,93,0.5,10,0,0,0,0
389844,10047,12,93,0.5,10,0,0,0,0
390375,10047,6,93,0.5,10,0,0,0,0
390906,10047,9,91,0.5,10,0,0,0,0
391437,10047,9,93,0.5,10,0,0,0,0
391968,10047,8,94,0.5,10,0,0,0,0
392499,10047,11,93,0.5,10,0,0,0,0
393030,10047,20,91,0.5,10,0,0,0,0
393561,10047,16,91,0.5,10,0,0,0,0
394092,10047,21,92,0.5,10,0,0,0,0
394623,10047,21,92,0.5,10,0,0,0,0
395154,10047,26,94,0.5,10,0,0,0,0
395685,10047,10,92,0.5,10,0,0,0,0
396216,10047,23,92,0.5,10,0,0,0,0
396747,10047,18,93,0.5,10,0,0,0,0
397278,10047,17,93,0.5,10,0,0,0,0
397809,10047,12,92,0.5,10,0,0,0,0
398340,10047,19,92,0.5,10,0,0,0,0
398880,10047,14,90,0.5,10,0,0,0,0
399411,10047,5,91,0.5,10,0,0,0,0
399942,10047,11,89,0.5,10,0,0,0,0
400473,10047,11,90,0.5,10,0,0,0,0
401004,10047,18,93,0.5,10,0,0,0,0
401535,10047,18,93,0.5,10,0,0,0,0
402066,10047,13,92,0.5,10,0,0,0,0
402597,10047,5,93,0.5,10,0,0,0,0
403128,10047,14,92,0.5,10,0,0,0,0
403659,-5664,-243,94,0.5,10,0,0,0,0
403947,-5664,-322,24,0.5,10,0,0,0,0
403920,-5664,-132,-13,0.5,10,0,0,0,0
403758,-5664,-75,-31,0.5,10,0,0,0,0
403533,-5664,-54,-40,0.5,10,0,0,0,0
403281,-5664,-34,-44,0.5,10,0,0,0,0
403020,-5664,-29,-48,0.5,10,0,0,0,0
402750,-5664,-29,-46,0.5,10,0,0,0,0
402471,-5664,-22,-49,0.5,10,0,0,0,0
402192,-5664,-21,-48,0.5,10,0,0,0,0
401913,-5664,-24,-47,0.5,10,0,0,0,0
401634,-5664,-19,-47,0.5,10,0,0,0,0
401355,-5664,-19,-48,0.5,10,0,0,0,0
401067,-5664,-23,-46,0.5,10,0,0,0,0
400788,-5664,-30,-49,0.5,10,0,0,0,0
400509,-5664,-15,-49,0.5,10,0,0,0,0
400230,-5664,-29,-51,0.5,10,0,0,0,0
399951,-5664,-30,-47,0.5,10,0,0,0,0
399672,-5664,-26,-50,0.5,10,0,0,0,0
399393,-5664,-21,-45,0.5,10,0,0,0,0
399114,-5664,-18,-47,0.5,10,0,0,0,0
398835,-5664,-26,-49,0.5,10,0,0,0,0
398556,-5664,-21,-50,0.5,10,0,0,0,0
398277,-5664,-22,-49,0.5,10,0,0,0,0
397998,-5664,-25,-49,0.5,10,0,0,0,0
397719,-5664,-30,-49,0.5,10,0,0,0,0
397431,-5664,-22,-48,0.5,10,0,0,0,0
397152,-5664,-29,-50,0.5,10,0,0,0,0
396873,-5664,-21,-48,0.5,10,0,0,0,0
396585,-5664,-25,-46,0.5,10,0,0,0,0
396306,-5664,-22,-48,0.5,10,0,0,0,0
396027,-5664,-20,-47,0.5,10,0,0,0,0
395748,-5664,-22,-48,0.5,10,0,0,0,0
395469,-5664,-17,-51,0.5,10,0,0,0,0
395190,-5664,-22,-50,0.5,10,0,0,0,0
394902,-5664,-23,-49,0.5,10,0,0,0,0
394623,-5664,-33,-49,0.5,10,0,0,0,0
394344,-5664,-32,-51,0.5,10,0,0,0,0
394065,-5664,-31,-49,0.5,10,0,0,0,0
393786,-5664,-22,-47,0.5,10,0,0,0,0
393498,-5664,-23,-50,0.5,10,0,0,0,0
393219,-5664,-24,-49,0.5,10,0,0,0,0
392940,-5664,-18,-46,0.5,10,0,0,0,0
392661,-5664,-20,-47,0.5,10,0,0,0,0
392382,-5664,-15,-47,0.5,10,0,0,0,0
392094,-5664,-16,-48,0.5,10,0,0,0,0
391815,-5664,-28,-50,0.5,10,0,0,0,0
391536,-5664,-29,-51,0.5,10,0,0,0,0
391248,-5664,-29,-45,0.5,10,0,0,0,0
390969,-5664,-33,-48,0.5,10,0,0,0,0
390690,-5664,-26,-48,0.5,10,0,0,0,0
390411,-5664,-24,-50,0.5,10,0,0,0,0
390132,-5664,-18,-49,0.5,10,0,0,0,0
389844,-5664,-21,-49,0.5,10,0,0,0,0
389565,-5664,-24,-49,0.5,10,0,0,0,0
389286,-5664,-18,-49,0.5,10,0,0,0,0
389007,-5664,-17,-50,0.5,10,0,0,0,0
388728,-5664,-25,-48,0.5,10,0,0,0,0
388449,-5664,-30,-48,0.5,10,0,0,0,0
388170,-5664,-26,-47,0.5,10,0,0,0,0
387882,-5664,-33,-50,0.5,10,0,0,0,0
387603,-5664,-20,-49,0.5,10,0,0,0,0
387324,-5664,-24,-50,0.5,10,0,0,0,0
387045,-5664,-24,-47,0.5,10,0,0,0,0
386757,-5664,-21,-47,0.5,10,0,0,0,0
386478,-5664,-21,-50,0.5,10,0,0,0,0
386199,-5664,-17,-50,0.5,10,0,0,0,0
385911,-5664,-16,-48,0.5,10,0,0,0,0
385632,-5664,-32,-47,0.5,10,0,0,0,0
385362,-5664,-32,-48,0.5,10,0,0,0,0
385074,-5664,-26,-48,0.5,10,0,0,0,0
384795,-5664,-30,-48,0.5,10,0,0,0,0
384516,-5664,-23,-48,0.5,10,0,0,0,0
384237,-5664,-27,-49,0.5,10,0,0,0,0
383958,-5664,-24,-47,0.5,10,0,0,0,0
383670,-5664,-21,-48,0.5,10,0,0,0,0
383391,-5664,-23,-49,0.5,10,0,0,0,0
383112,-5664,-15,-50,0.5,10,0,0,0,0
382833,-5664,-18,-48,0.5,10,0,0,0,0
382545,-5664,-18,-48,0.5,10,0,0,0,0
382266,-5664,-30,-49,0.5,10,0,0,0,0
381987,-5664,-26,-48,0.5,10,0,0,0,0
381708,-5664,-29,-50,0.5,10,0,0,0,0
381429,-5664,-23,-48,0.5,10,0,0,0,0
381150,-5664,-26,-47,0.5,10,0,0,0,0
380862,-5664,-27,-50,0.5,10,0,0,0,0
380583,-5664,-22,-49,0.5,10,0,0,0,0
380304,-5664,-23,-49,0.5,10,0,0,0,0
380016,-5664,-15,-48,0.5,10,0,0,0,0
379737,-5664,-26,-48,0.5,10,0,0,0,0
379458,-5664,-23,-50,0.5,10,0,0,0,0
379179,-5664,-28,-48,0.5,10,0,0,0,0
378891,-5664,-23,-49,0.5,10,0,0,0,0
378612,-5664,-27,-48,0.5,10,0,0,0,0
378333,-5664,-27,-49,0.5,10,0,0,0,0
378054,-5664,-26,-50,0.5,10,0,0,0,0
377775,-5664,-24,-48,0.5,10,0,0,0,0
377487,-5664,-18,-48,0.5,10,0,0,0,0
377208,-5664,-18,-50,0.5,10,0,0,0,0
376929,-5664,-18,-47,0.5,10,0,0,0,0
376650,-3272,18,-47,0.5,10,0,0,0,0
376398,-3272,10,-38,0.5,10,0,0,0,0
376173,-3272,1,-38,0.5,10,0,0,0,0
375975,-3272,-4,-33,0.5,10,0,0,0,0
375795,-3272,-7,-30,0.5,10,0,0,0,0
375624,-3272,-6,-32,0.5,10,0,0,0,0
375462,-3272,-14,-29,0.5,10,0,0,0,0
375318,-3272,-20,-23,0.5,10,0,0,0,0
375174,-3272,-18,-20,0.5,10,0,0,0,0
375030,-3272,-25,-21,0.5,10,0,0,0,0
374886,-3272,-16,-25,0.5,10,0,0,0,0
374751,-3272,-27,-20,0.5,10,0,0,0,0
374616,-3272,-17,-28,0.5,10,0,0,0,0
374472,-3272,-21,-28,0.5,10,0,0,0,0
374337,-3272,-23,-22,0.5,10,0,0,0,0
374193,-3272,-24,-20,0.5,10,0,0,0,0
374058,-3272,-25,-25,0.5,10,0,0,0,0
373914,-3272,-17,-27,0.5,10,0,0,0,0
373770,-3272,-26,-26,0.5,10,0,0,0,0
373635,-3272,-20,-21,0.5,10,0,0,0,0
373482,-3272,-26,-20,0.5,10,0,0,0,0
373347,-3272,-22,-22,0.5,10,0,0,0,0
373203,-3272,-24,-18,0.5,10,0,0,0,0
373068,-3272,-21,-27,0.5,10,0,0,0,0
372933,-3272,-23,-23,0.5,10,0,0,0,0
372789,-3272,-23,-23,0.5,10,0,0,0,0
372654,-3272,-22,-20,0.5,10,0,0,0,0
372510,-3272,-22,-24,0.5,10,0,0,0,0
372366,-3272,-20,-28,0.5,10,0,0,0,0
372231,-3272,-24,-22,0.5,10,0,0,0,0
372087,-3272,-20,-21,0.5,10,0,0,0,0
371943,-3272,-25,-22,0.5,10,0,0,0,0
371799,-3272,-20,-25,0.5,10,0,0,0,0
371655,-3272,-21,-21,0.5,10,0,0,0,0
371520,-3272,-17,-25,0.5,10,0,0,0,0
371376,-3272,-22,-26,0.5,10,0,0,0,0
371241,-3272,-32,-20,0.5,10,0,0,0,0
371106,-3272,-21,-23,0.5,10,0,0,0,0
370971,-3272,-24,-26,0.5,10,0,0,0,0
370827,-3272,-20,-26,0.5,10,0,0,0,0
370692,-3272,-23,-20,0.5,10,0,0,0,0
370548,-3272,-21,-27,0.5,10,0,0,0,0
370404,-3272,-23,-27,0.5,10,0,0,0,0
370269,-3272,-21,-22,0.5,10,0,0,0,0
370125,-3272,-20,-23,0.5,10,0,0,0,0
369981,-3272,-20,-23,0.5,10,0,0,0,0
369837,-3272,-21,-23,0.5,10,0,0,0,0
369702,-3272,-27,-21,0.5,10,0,0,0,0
369558,-3272,-24,-22,0.5,10,0,0,0,0
369423,-3272,-29,-23,0.5,10,0,0,0,0
369279,-3272,-21,-20,0.5,10,0,0,0,0
369144,-3272,-24,-27,0.5,10,0,0,0,0
369000,-3272,-20,-27,0.5,10,0,0,0,0
368856,-3272,-20,-26,0.5,10,0,0,0,0
368721,-3272,-21,-24,0.5,10,0,0,0,0
368586,-3272,-21,-21,0.5,10,0,0,0,0
368442,-3272,-21,-28,0.5,10,0,0,0,0
368298,-3272,-24,-27,0.5,10,0,0,0,0
368154,-3272,-18,-27,0.5,10,0,0,0,0
368010,-3272,-21,-26,0.5,10,0,0,0,0
367866,-3272,-23,-19,0.5,10,0,0,0,0
367731,-3272,-21,-24,0.5,10,0,0,0,0
367596,-3272,-28,-25,0.5,10,0,0,0,0
367461,-3272,-19,-23,0.5,10,0,0,0,0
367326,-3272,-24,-21,0.5,10,0,0,0,0
367182,-3272,-18,-24,0.5,10,0,0,0,0
