Current,Position,PosTgt,Speed,PosEst,DistEst,CurrentTgt,Voltage,Current-A,Channel 10
44,13104,0,-69281,13111,-2250,-366,-11989,0,1.34351e+07
29,12969,0,-69487,12972,-2234,-349,-11989,0,1.34351e+07
34,12825,0,-69433,12833,-2216,-358,-11989,0,1.34351e+07
34,12690,0,-69508,12694,-2201,-341,-11989,0,1.34351e+07
49,12555,0,-69094,12556,-2185,-344,-11989,0,1.34351e+07
27,12411,0,-69170,12417,-2163,-351,-11989,0,1.34351e+07
32,12276,0,-69560,12278,-2143,-334,-11989,0,1.34351e+07
36,12132,0,-69284,12140,-2126,-342,-11989,0,1.34351e+07
43,11997,0,-69653,11999,-2103,-325,-11989,0,1.34351e+07
43,11853,0,-69430,11860,-2076,-334,-11989,0,1.34351e+07
25,11718,0,-69356,11721,-2059,-316,-11989,0,1.34351e+07
35,11574,0,-69055,11582,-2040,-328,-11989,0,1.34351e+07
29,11439,0,-69515,11444,-2021,-310,-11989,0,1.34351e+07
49,11304,0,-69392,11305,-2001,-312,-11989,0,1.34351e+07
34,11160,0,-69007,11167,-1981,-320,-11989,0,1.34351e+07
45,11025,0,-69003,11029,-1960,-301,-11989,0,1.34351e+07
24,10881,0,-69683,10890,-1935,-309,-11989,0,1.34351e+07
25,10746,0,-69480,10750,-1913,-292,-11989,0,1.34351e+07
31,10611,0,-69054,10612,-1895,-294,-11989,0,1.34351e+07
39,10467,0,-69151,10473,-1872,-303,-11989,0,1.34351e+07
52,10332,0,-69922,10334,-1848,-284,-11989,0,1.34351e+07
28,10188,0,-69367,10195,-1827,-294,-11989,0,1.34351e+07
35,10053,0,-69815,10056,-1805,-273,-11989,0,1.34351e+07
32,9909,0,-69544,9916,-1779,-286,-11989,0,1.34351e+07
44,9774,0,-69534,9777,-1756,-264,-11989,0,1.34351e+07
25,9630,0,-69491,9638,-1734,-275,-11989,0,1.34351e+07
43,9495,0,-69132,9499,-1711,-256,-11989,0,1.34351e+07
28,9351,0,-69779,9360,-1685,-265,-11989,0,1.34351e+07
29,9216,0,-69904,9218,-1663,-244,-11989,0,1.34351e+07
28,9072,0,-69099,9080,-1640,-250,-11989,0,1.34351e+07
39,8937,0,-69459,8941,-1616,-258,-11989,0,1.34351e+07
24,8802,0,-69246,8802,-1591,-247,-11989,0,1.34351e+07
26,8658,0,-69461,8664,-1569,-223,-11989,0,1.34351e+07
31,8523,0,-69358,8525,-1542,-226,-11989,0,1.34351e+07
31,8379,0,-69414,8387,-1512,-238,-11989,0,1.34351e+07
39,8244,0,-69662,8248,-1479,-211,-11989,0,1.34351e+07
28,8100,0,-69240,8109,-1452,-225,-11989,0,1.34351e+07
43,7965,0,-68985,7970,-1429,-226,-11989,0,1.34351e+07
29,7830,0,-69438,7832,-1405,-201,-11989,0,1.34351e+07
36,7686,0,-68872,7694,-1383,-214,-11989,0,1.34351e+07
35,7551,0,-69186,7555,-1354,-183,-11989,0,1.34351e+07
45,7416,0,-69592,7417,-1318,-195,-11989,0,1.34351e+07
27,7272,0,-69383,7278,-1286,-165,-11989,0,1.34351e+07
28,7137,0,-69438,7140,-1246,-171,-11989,0,1.34351e+07
31,6993,0,-68941,7001,-1210,-186,-11989,0,1.34351e+07
34,6858,0,-69642,6862,-1171,-149,-11989,0,1.34351e+07
58,6714,0,-69485,6723,-1131,-169,-11989,0,1.34351e+07
29,6579,0,-69392,6584,-1089,-132,-11989,0,1.34351e+07
43,6435,0,-69576,6442,-1045,-152,-11989,0,1.34351e+07
28,6300,0,-69889,6303,-1006,-111,-11989,0,1.34351e+07
36,6156,0,-69647,6164,-967,-135,-11989,0,1.34351e+07
37,6021,0,-69360,6024,-931,-99,-11989,0,1.34351e+07
43,5877,0,-69475,5886,-889,-124,-11989,0,1.34351e+07
25,5742,0,-69617,5748,-838,-61,-11989,0,1.34351e+07
32,5598,0,-69478,5609,-779,-99,-11989,0,1.34351e+07
26,5463,0,-69495,5470,-726,35,-11989,0,1.34351e+07
41,5328,0,-69185,5333,-661,-15,-11989,0,1.34351e+07
40,5184,0,-69456,5195,-571,-73,-11989,0,1.34351e+07
35,5049,0,-69510,5057,-471,81,-11989,0,1.34351e+07
47,4905,0,-69188,4918,-373,28,-11989,0,1.34351e+07
35,4770,0,-69480,4779,-279,110,-11989,0,1.34351e+07
34,4626,0,-69595,4642,-163,81,-11989,0,1.34351e+07
36,4491,0,-68901,4504,-37,72,-11989,0,1.34351e+07
43,4356,0,-69353,4365,92,129,-11989,0,1.34351e+07
25,4212,0,-69191,4226,214,105,-11989,0,1.34351e+07
38,4077,0,-69344,4087,331,152,-11989,0,1.34351e+07
40,3942,0,-69248,3948,437,140,-11989,0,1.34351e+07
38,3798,0,-69298,3809,534,132,-11989,0,1.34351e+07
28,3663,0,-69864,3666,623,169,-11989,0,1.34351e+07
30,3519,0,-69015,3527,694,151,-11989,0,1.34351e+07
30,3384,0,-69225,3388,758,185,-11989,0,1.34351e+07
33,3240,0,-69341,3249,820,163,-11989,0,1.34351e+07
53,3105,0,-69763,3109,874,196,-11989,0,1.34351e+07
27,2961,0,-69583,2970,921,179,-11989,0,1.34351e+07
43,2826,0,-69604,2831,968,208,-11989,0,1.34351e+07
28,2682,0,-69715,2691,1016,193,-11989,0,1.34351e+07
31,2547,0,-69565,2552,1062,219,-11989,0,1.34351e+07
30,2403,0,-69304,2412,1105,204,-11989,0,1.34351e+07
39,2268,0,-69543,2273,1135,232,-11989,0,1.34351e+07
23,2133,0,-69592,2134,1169,220,-11989,0,1.34351e+07
26,1989,0,-69085,1995,1203,215,-11989,0,1.34351e+07
31,1854,0,-69586,1856,1235,240,-11989,0,1.34351e+07
37,1710,0,-69031,1718,1261,227,-11989,0,1.34351e+07
49,1575,0,-69482,1579,1292,253,-11989,0,1.34351e+07
31,1431,0,-69341,1440,1326,241,-11989,0,1.34351e+07
44,1296,0,-69395,1302,1356,263,-11989,0,1.34351e+07
28,1161,0,-69436,1163,1389,260,-11989,0,1.34351e+07
32,1017,0,-69369,1024,1422,250,-11989,0,1.34351e+07
33,882,0,-69278,883,1452,272,-11989,0,1.34351e+07
