Current,Voltage,Position,Speed
-7,5904,7668,576000
-9,5684,7974,432000
1,5463,8280,576000
-4,5233,8559,432000
-1,5013,8829,432000
1,4783,9090,432000
-3,4552,9333,432000
1,4312,9567,432000
-6,4082,9783,288000
-9,3842,9990,288000
-3,3602,10188,432000
-4,3362,10359,288000
-6,3122,10521,288000
-3,2882,10665,144000
-9,2631,10800,144000
-1,2391,10926,288000
-9,2140,11025,144000
-9,1891,11124,144000
-3,1640,11214,144000
-9,1400,11277,144000
-9,1150,11340,144000
-6,900,11385,144000
-9,639,11421,144000
-12,390,11439,0
-6,139,11457,144000
-9,0,11457,0
-10,0,11457,0
-15,0,11457,0
-24,0,11457,0
-24,0,11448,0
-34,0,11430,0
-40,0,11403,0
-39,0,11358,-144000
-40,0,11304,-144000
-37,0,11232,-144000
-34,0,11151,-144000
-37,0,11052,-144000
-37,0,10944,-144000
-34,0,10818,-288000
-36,0,10683,-288000
-36,0,10530,-288000
-46,0,10359,-288000
-39,0,10179,-288000
-37,0,9981,-432000
-34,0,9774,-432000
-42,0,9549,-432000
-66,0,9315,-432000
-36,0,9072,-432000
-63,0,8802,-432000
-40,0,8523,-576000
-45,0,8235,-576000
-39,0,7929,-576000
-34,0,7614,-576000
-55,0,7290,-576000
-42,0,6948,-576000
-39,0,6597,-576000
-69,0,6228,-720000
-39,0,5850,-720000
-30,0,5463,-720000
-36,0,5058,-720000
-63,0,4644,-720000
-49,0,4221,-720000
-42,0,3780,-864000
-42,0,3339,-720000
-37,0,2880,-864000
-27,0,2412,-864000
-34,0,1935,-864000
-30,0,1449,-864000
-33,0,954,-864000
-39,0,441,-1.008e+06
-34,0,-72,-864000
-34,0,-594,-864000
-34,0,-1134,-864000
-21,0,-1674,-864000
-39,0,-2232,-1.008e+06
-42,0,-2790,-1.008e+06
-34,0,-3357,-1.008e+06
-36,0,-3933,-1.008e+06
-22,0,-4509,-1.008e+06
-73,0,-5103,-1.152e+06
-37,0,-5697,-1.152e+06
-25,0,-6300,-1.152e+06
-40,0,-6903,-1.008e+06
-33,0,-7515,-1.008e+06
-55,0,-8145,-1.152e+06
-40,0,-8766,-1.152e+06
-27,0,-9387,-1.008e+06
-48,0,-10026,-1.152e+06
-27,0,-10674,-1.152e+06
-34,0,-11331,-1.152e+06
-22,0,-11997,-1.152e+06
-18,0,-12663,-1.152e+06
-52,0,-13338,-1.296e+06
-21,0,-14004,-1.152e+06
-3,0,-14679,-1.152e+06
-7,0,-15363,-1.152e+06
-4,0,-16056,-1.152e+06
-7,0,-16749,-1.152e+06
-7,0,-17442,-1.152e+06
-3,0,-18135,-1.296e+06
-9,0,-18828,-1.296e+06
-6,0,-19512,-1.152e+06
-4,0,-20205,-1.152e+06
-10,0,-20898,-1.152e+06
-9,0,-21591,-1.152e+06
-4,0,-22284,-1.296e+06
-9,0,-22977,-1.296e+06
-15,0,-23661,-1.152e+06
-21,0,-24345,-1.152e+06
-21,0,-25020,-1.152e+06
-52,0,-25695,-1.152e+06
-24,0,-26361,-1.152e+06
-27,0,-27036,-1.152e+06
-45,0,-27702,-1.152e+06
-12,0,-28359,-1.152e+06
-27,0,-28998,-1.152e+06
-22,0,-29628,-1.008e+06
-58,0,-30258,-1.152e+06
-15,0,-30879,-1.008e+06
-22,0,-31500,-1.008e+06
-33,0,-32121,-1.152e+06
-18,0,-32724,-1.008e+06
-31,0,-33327,-1.008e+06
-54,0,-33921,-1.008e+06
-16,0,-34506,-1.008e+06
-21,0,-35091,-1.008e+06
-25,0,-35658,-1.008e+06
