Ifbk,IfbkTgt,SpdTgt,SpdAct
0,0,0,0
1,2000,45000,0
304,2000,45000,0
424,2000,45000,0
432,2000,45000,3340
411,2000,45000,9425
388,2000,45000,15378
357,2000,45000,19714
345,2000,45000,21531
339,2000,45000,24214
327,2000,45000,27826
295,2000,45000,31454
274,2000,45000,34227
249,2000,45000,36568
234,2000,45000,39457
204,2000,45000,41570
207,2000,45000,43365
193,2000,45000,44978
171,-2000,45000,46962
153,-2000,45000,48841
130,-2000,45000,50365
129,-2000,45000,51615
121,-2000,45000,52766
117,-2000,45000,53855
102,-2000,45000,55065
78,-2000,45000,55892
90,-2000,45000,56790
96,-2000,45000,57697
79,-2000,45000,58170
67,-2000,45000,59157
78,-2000,45000,59137
72,-2000,45000,59874
66,-2000,45000,60507
54,-2000,45000,61143
34,-2000,45000,61450
66,-2000,45000,61879
64,-2000,45000,61927
45,-2000,45000,62691
40,-2000,45000,62881
46,-2000,45000,63230
42,-2000,45000,63563
42,-2000,45000,63762
28,-2000,45000,63396
31,-2000,45000,64673
34,-2000,45000,64542
25,-2000,45000,64604
28,-2000,45000,64686
39,-2000,45000,64899
30,-2000,45000,64862
25,-2000,45000,65473
16,-2000,45000,65369
30,-2000,45000,65808
33,-2000,45000,66019
25,-2000,45000,65826
27,-2000,45000,65916
34,-2000,45000,65863
25,-2000,45000,66248
18,-2000,45000,66620
12,-2000,45000,66934
18,-2000,45000,65878
22,-2000,45000,66370
19,-2000,45000,66250
22,-2000,45000,66478
21,-2000,45000,66690
21,-2000,45000,66313
13,-2000,45000,66944
19,-2000,45000,66812
27,-2000,45000,66842
27,-2000,45000,67125
18,-2000,45000,67316
28,-2000,45000,66387
21,-2000,45000,66263
16,-2000,45000,67182
12,-2000,45000,67244
16,-2000,45000,67571
18,-2000,45000,67343
21,-2000,45000,67679
15,-2000,45000,67193
22,-2000,45000,67537
19,-2000,45000,67394
10,-2000,45000,67687
-1,-2000,45000,67349
19,-2000,45000,67513
12,-2000,45000,67614
6,-2000,45000,67602
18,-2000,45000,67549
10,-2000,45000,67544
16,-2000,45000,67519
3,-2000,45000,67530
9,-2000,45000,67512
21,-2000,45000,67026
9,-2000,45000,67328
-1,-2000,45000,67630
27,-2000,45000,66918
15,-2000,45000,67312
7,-2000,45000,67185
4,-2000,45000,67537
9,-2000,45000,67311
7,-2000,45000,67599
3,-2000,45000,67339
9,-2000,45000,66998
16,-2000,45000,66414
19,-2000,45000,66659
9,-2000,45000,67080
7,-2000,45000,67313
22,-2000,45000,67181
12,-2000,45000,67157
0,-2000,45000,67430
22,-2000,45000,67246
16,-2000,45000,67564
13,-2000,45000,67326
9,-2000,45000,67270
9,-2000,45000,66338
9,-2000,45000,66688
10,-2000,45000,66873
1,-2000,45000,67156
16,-2000,45000,67355
18,-2000,45000,67436
7,-2000,45000,66822
3,-2000,45000,66747
24,-2000,45000,67227
16,-2000,45000,67147
7,-2000,45000,67519
18,-2000,45000,67472
21,-2000,45000,67506
16,-2000,45000,67505
9,-2000,45000,67518
25,-2000,45000,67509
18,-2000,45000,67519
10,-2000,45000,67509
3,-2000,45000,67519
24,-2000,45000,67509
18,-2000,45000,67519
16,-2000,45000,67509
7,-2000,45000,67519
7,-2000,45000,67509
16,-2000,45000,67519
10,-2000,45000,68073
1,-2000,45000,68448
22,-2000,45000,67627
16,-2000,45000,67439
7,-2000,45000,67493
7,-2000,45000,67522
21,-2000,45000,67687
13,-2000,45000,67342
9,-2000,45000,67425
16,-2000,45000,67264
18,-2000,45000,67368
18,-2000,45000,67435
9,-2000,45000,67486
7,-2000,45000,67497
18,-2000,45000,67515
12,-2000,45000,67511
0,-2000,45000,67134
18,-2000,45000,66582
19,-2000,45000,65982
10,-2000,45000,66804
12,-2000,45000,67153
22,-2000,45000,67292
18,-2000,45000,67358
15,-2000,45000,67311
9,-2000,45000,67331
15,-2000,45000,67422
21,-2000,45000,67301
18,-2000,45000,67592
7,-2000,45000,67020
21,-2000,45000,66648
16,-2000,45000,66678
7,-2000,45000,66888
10,-2000,45000,67183
10,-2000,45000,67350
16,-2000,45000,67456
13,-2000,45000,67187
25,-2000,45000,67052
33,-2000,45000,66776
19,-2000,45000,67274
9,-2000,45000,67176
18,-2000,45000,67534
10,-2000,45000,67313
12,-2000,45000,67597
16,-2000,45000,67342
22,-2000,45000,67611
19,-2000,45000,67347
12,-2000,45000,67612
10,-2000,45000,67347
15,-2000,45000,67612
13,-2000,45000,67347
10,-2000,45000,67612
10,-2000,45000,67347
19,-2000,45000,67612
16,-2000,45000,67347
3,-2000,45000,67612
21,-2000,45000,67347
10,-2000,45000,67612
3,-2000,45000,67347
9,-2000,45000,67612
19,-2000,45000,67347
22,-2000,45000,67612
18,-2000,45000,67347
9,-2000,45000,67612
16,-2000,45000,67347
12,-2000,45000,67347
9,-2000,45000,67048
9,-2000,45000,67270
22,-2000,45000,67121
18,-2000,45000,67496
7,-2000,45000,67291
12,-2000,45000,67587
9,-2000,45000,66755
9,-2000,45000,66138
3,-2000,45000,66665
13,-2000,45000,67118
30,-2000,45000,67345
16,-2000,45000,66816
4,-2000,45000,67217
21,-2000,45000,67129
9,-2000,45000,67508
6,-2000,45000,67299
10,-2000,45000,66364
16,-2000,45000,66633
19,-2000,45000,66975
16,-2000,45000,67267
1,-2000,45000,67397
10,-2000,45000,67485
9,-2000,45000,67200
1,-2000,45000,67307
4,-2000,45000,67153
30,-2000,45000,67514
22,-2000,45000,66712
9,-2000,45000,66500
16,-2000,45000,66907
12,-2000,45000,67141
3,-2000,45000,67333
16,-2000,45000,67426
16,-2000,45000,67484
21,-2000,45000,67495
18,-2000,45000,67516
9,-2000,45000,67510
13,-2000,45000,67522
12,-2000,45000,67512
0,-2000,45000,67522
-6,-2000,45000,67512
16,-2000,45000,67522
15,-2000,45000,67612
9,-2000,45000,67347
10,-2000,45000,67612
21,-2000,45000,67347
10,-2000,45000,67612
3,-2000,45000,67347
1,-2000,45000,67612
27,-2000,45000,67348
21,-2000,45000,67612
15,-2000,45000,67348
21,-2000,45000,67612
13,-2000,45000,67348
10,-2000,45000,67612
4,-2000,45000,66774
7,-2000,45000,67215
22,-2000,45000,67213
15,-2000,45000,67346
3,-2000,45000,67429
24,-2000,45000,67092
15,-2000,45000,66206
4,-2000,45000,66199
9,-2000,45000,66994
28,-2000,45000,67218
21,-2000,45000,67127
16,-2000,45000,67026
16,-2000,45000,67216
16,-2000,45000,67366
15,-2000,45000,67444
16,-2000,45000,66843
9,-2000,45000,66104
22,-2000,45000,66783
22,-2000,45000,66984
7,-2000,45000,67594
16,-2000,45000,67383
13,-2000,45000,67395
6,-2000,45000,67224
10,-2000,45000,67335
28,-2000,45000,67420
27,-2000,45000,66617
27,-2000,45000,66490
10,-2000,45000,66772
13,-2000,45000,67148
15,-2000,45000,67340
10,-2000,45000,67461
16,-2000,45000,67482
27,-2000,45000,67518
21,-2000,45000,67500
16,-2000,45000,67524
16,-2000,45000,67502
15,-2000,45000,67524
10,-2000,45000,67502
1,-2000,45000,67524
9,-2000,45000,67502
22,-2000,45000,67524
16,-2000,45000,67502
6,-2000,45000,67524
19,-2000,45000,67502
9,-2000,45000,67524
4,-2000,45000,68111
6,-2000,45000,67770
21,-2000,45000,67622
24,-2000,45000,67563
19,-2000,45000,67535
10,-2000,45000,67522
16,-2000,45000,67516
15,-2000,45000,67514
7,-2000,45000,67513
6,-2000,45000,67513
22,-2000,45000,67513
16,-2000,45000,66985
9,-2000,45000,66574
19,-2000,45000,66919
15,-2000,45000,66949
9,-2000,45000,67417
10,-2000,45000,67263
18,-2000,45000,66668
28,-2000,45000,66747
25,-2000,45000,67070
3,-2000,45000,67322
18,-2000,45000,67422
16,-2000,45000,67322
6,-2000,45000,67596
10,-2000,45000,66998
18,-2000,45000,67042
18,-2000,45000,67242
15,-2000,45000,67378
3,-2000,45000,67457
9,-2000,45000,67098
12,-2000,45000,66943
3,-2000,45000,66416
3,-2000,45000,67033
30,-2000,45000,67064
24,-2000,45000,67481
10,-2000,45000,67118
18,-2000,45000,67275
10,-2000,45000,67545
3,-2000,45000,67369
7,-2000,45000,67406
16,-2000,45000,67470
19,-2000,45000,67477
19,-2000,45000,67503
1,-2000,45000,67497
12,-2000,45000,67518
13,-2000,45000,67512
1,-2000,45000,67530
3,-2000,45000,67518
19,-2000,45000,67531
15,-2000,45000,67518
7,-2000,45000,67531
13,-2000,45000,67518
10,-2000,45000,67531
3,-2000,45000,67865
3,-2000,45000,67475
0,-2000,45000,67221
18,-2000,45000,67327
22,-2000,45000,67414
4,-2000,45000,67470
10,-2000,45000,67496
12,-2000,45000,67510
4,-2000,45000,67510
7,-2000,45000,67610
15,-2000,45000,66522
16,-2000,45000,66208
16,-2000,45000,66695
4,-2000,45000,67134
22,-2000,45000,67522
13,-2000,45000,67141
3,-2000,45000,67091
9,-2000,45000,66897
27,-2000,45000,67357
22,-2000,45000,67219
18,-2000,45000,67216
18,-2000,45000,66659
15,-2000,45000,67027
10,-2000,45000,67167
13,-2000,45000,67331
12,-2000,45000,67426
25,-2000,45000,67162
21,-2000,45000,66425
4,-2000,45000,66178
18,-2000,45000,67089
15,-2000,45000,67219
6,-2000,45000,67566
9,-2000,45000,66975
30,-2000,45000,67012
27,-2000,45000,67229
24,-2000,45000,67368
9,-2000,45000,67455
13,-2000,45000,67085
13,-2000,45000,67279
9,-2000,45000,67498
6,-2000,45000,67277
28,-2000,45000,67107
22,-2000,45000,67486
10,-2000,45000,67284
19,-2000,45000,67587
18,-2000,45000,67336
4,-2000,45000,67608
3,-2000,45000,67984
6,-2000,45000,67991
16,-2000,45000,67731
21,-2000,45000,67373
7,-2000,45000,67829
19,-2000,45000,67492
7,-2000,45000,67689
4,-2000,45000,67386
